fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,distance_km,hour,day_of_week,month
76.39,2024-11-08 20:12:19,-74.01307638909744,40.829134113035835,-73.91347392623894,40.67053213473642,4,19.53,20,4,11
114.91,2025-01-17 21:32:50,-74.01783473625476,40.60166778499423,-73.76403217741264,40.90292034522066,4,39.74,21,4,1
78.28,2024-09-13 04:38:09,-73.97416069425913,40.84516746426866,-73.74109795610873,40.79077966016254,3,20.52,4,4,9
127.66,2025-03-02 16:40:53,-73.93001399683465,40.58947547980001,-74.01400373576925,40.91616597858815,1,37.01,16,6,3
80.99,2024-12-17 03:38:03,-73.73367596838065,40.699788452928374,-74.00067362223223,40.62528112957745,1,24.0,3,1,12
127.83,2025-03-18 14:35:20,-73.8088592882607,40.66391685614798,-73.80621738980567,40.93683570571249,4,30.35,14,1,3
47.79,2024-11-02 19:07:17,-73.76234392597472,40.61760340481935,-73.84768579886868,40.69012790617978,2,10.81,19,5,11
75.56,2025-02-23 22:52:26,-74.00822926249745,40.76384817881912,-74.01876321090872,40.930926995842015,4,18.6,22,6,2
94.9,2025-01-12 03:25:56,-73.88733029728273,40.75915842851141,-73.9560036554288,40.58788738881237,4,19.91,3,6,1
54.11,2024-12-14 23:18:55,-73.94722240799892,40.861876483710915,-73.96196301139109,40.949050720938935,4,9.77,23,5,12
75.37,2025-05-29 06:25:58,-73.96281491447279,40.72214946572092,-73.96822954977992,40.85110234733537,2,14.35,6,3,5
82.06,2025-02-07 22:56:23,-73.91394908423625,40.79712765003787,-73.86529330382827,40.577436940698696,2,24.77,22,4,2
61.69,2024-12-13 16:52:24,-73.94898675267743,40.82296658727283,-73.98862208184242,40.704123351329606,4,13.63,16,4,12
56.21,2025-03-14 14:16:43,-73.91625493656187,40.81663265838527,-73.77582459110604,40.79498726385466,2,12.06,14,4,3
72.63,2025-06-28 08:24:22,-73.70970439026591,40.65304283003953,-73.798815297287,40.77150508428538,1,15.16,8,5,6
131.75,2024-09-02 15:20:26,-73.90982237320567,40.894009145636524,-73.84353443690881,40.55000605252736,1,38.66,15,0,9
99.45,2024-12-15 02:10:48,-73.87104300936429,40.55273126863552,-73.90705252064386,40.73112846834267,1,20.07,2,6,12
82.12,2024-11-19 22:49:20,-73.97317666088934,40.58158127567139,-74.02018756212188,40.77543238038248,4,21.92,22,1,11
48.87,2025-07-07 05:31:39,-73.84066900924475,40.82763101756443,-73.81792404501519,40.74494336465633,1,9.39,5,0,7
101.4,2024-09-03 08:40:51,-73.98929837490762,40.75292092340775,-73.82220223850746,40.58537261132653,1,23.36,8,1,9
40.31,2024-11-03 13:16:59,-73.78113693197224,40.91222190578073,-73.75408217498719,40.94049878828747,3,3.88,13,6,11
50.89,2024-09-27 12:25:38,-73.91158402323411,40.71078699790477,-73.8246949096795,40.62575610436111,3,11.96,12,4,9
76.89,2024-10-22 08:19:28,-73.76393106315656,40.79693928926217,-73.98097542436128,40.718813310986334,2,20.24,8,1,10
122.83,2024-12-03 05:02:59,-73.98876832977916,40.88009164083135,-73.78364941467082,40.60671712686059,3,34.97,5,1,12
60.88,2025-04-16 19:24:00,-73.85817749472771,40.79647514354674,-74.01344936223508,40.835128742669035,3,13.76,19,2,4
132.89,2024-12-17 09:10:42,-73.70662858352541,40.8051327465459,-74.04776955682834,40.83134701518343,1,28.85,9,1,12
100.36,2024-12-10 12:14:12,-73.74980176566551,40.661764646596325,-73.98720460736213,40.74111881841854,1,21.87,12,1,12
144.37,2025-04-22 14:44:23,-73.79467709075637,40.89284155382774,-73.97455121158451,40.55192577143401,3,40.83,14,1,4
37.09,2025-05-13 22:59:39,-73.92662994732598,40.73040980829697,-73.8925071024763,40.7612149720055,3,4.47,22,1,5
62.54,2024-11-17 12:49:19,-73.8981150996103,40.78963440499862,-73.84558347924853,40.90989478227246,1,14.08,12,6,11
60.58,2025-03-02 21:09:54,-73.76256345291024,40.55262918629679,-73.90929450815655,40.596986707211926,4,13.34,21,6,3
34.67,2025-04-15 04:14:17,-73.93026701796552,40.72419396777246,-73.88101702933905,40.742813825268406,2,4.64,4,1,4
55.7,2025-06-16 20:38:28,-73.77695146021249,40.725507132191396,-73.76903028399408,40.84274451851221,3,13.05,20,0,6
93.52,2025-07-16 06:04:06,-73.85578237629393,40.92783259297554,-73.735160594327,40.689218055739666,4,28.41,6,2,7
63.95,2024-11-23 01:25:07,-73.97574452880042,40.59897347676471,-73.92094583721492,40.741449878268185,3,16.5,1,5,11
104.66,2024-10-03 01:37:24,-74.02531753943515,40.57432336970912,-73.74469288340345,40.66175409198542,2,25.6,1,3,10
57.8,2025-08-06 16:03:44,-73.94396777759557,40.93492227656534,-74.0089964051789,40.821173171252084,4,13.78,16,2,8
111.35,2024-10-30 05:45:55,-73.75336071696003,40.811174209806374,-74.03945493259444,40.63795108564193,2,30.86,5,2,10
54.71,2025-01-24 14:49:44,-73.86371072550345,40.71782608185165,-73.86193745389403,40.60370126839574,3,12.69,14,4,1
58.54,2025-01-06 13:27:04,-73.72163226373927,40.74564449355618,-73.82268940518428,40.85354882084982,4,14.71,13,0,1
130.25,2024-12-08 03:34:42,-73.88042942343947,40.89754767182262,-73.96180759170198,40.60738132063267,4,32.99,3,6,12
85.61,2025-03-06 09:17:57,-73.70401113205924,40.62318314797825,-73.8465186004701,40.797312923399915,1,22.79,9,3,3
108.45,2025-06-23 08:09:22,-73.83425684509874,40.57313565665103,-73.8221066312948,40.88528007759566,1,34.72,8,0,6
80.5,2025-04-18 16:15:54,-73.96530943374417,40.84289863364634,-73.97165983825629,40.668984274214644,3,19.35,16,4,4
94.47,2024-08-31 01:47:58,-73.7764230181908,40.874385885203885,-73.97310085822566,40.69372229120736,2,26.03,1,5,8
96.34,2025-04-22 11:25:46,-73.73080380570315,40.75061266683415,-73.89200576120473,40.935991981585346,1,24.67,11,1,4
131.74,2025-03-12 13:43:09,-73.77846028047402,40.88060908300122,-73.713707416825,40.59024302182424,4,32.74,13,2,3
87.11,2025-05-23 12:05:08,-73.74156723528407,40.918135102701456,-74.0388085234678,40.77980105758894,2,29.35,12,4,5
103.17,2025-01-13 14:20:39,-73.93130811825002,40.9102487973188,-73.82576598145108,40.71664498053461,3,23.29,14,0,1
99.48,2025-07-25 04:22:08,-73.76656734394022,40.55838733930303,-73.91841192110694,40.7460542148463,2,24.49,4,4,7
106.14,2024-10-22 17:18:17,-73.95469837463136,40.898852108130335,-73.70212612667352,40.78733713110926,2,24.6,17,1,10
77.99,2025-02-04 14:25:27,-73.9335366757714,40.74396076892726,-73.9824016231093,40.58985549294287,3,17.62,14,1,2
63.76,2025-05-11 08:19:02,-73.91860463001572,40.759884959811,-73.93852516029052,40.62135476236361,3,15.5,8,6,5
105.52,2025-08-19 18:41:19,-73.95894199234142,40.69903180567817,-73.73599765544083,40.865757704364185,3,26.38,18,1,8
91.45,2025-01-27 01:30:13,-73.98938834335422,40.704086610212634,-73.80737975452793,40.87905176611207,1,24.76,1,0,1
97.19,2024-09-29 11:40:22,-73.73977276789633,40.80310765691738,-73.97955951045944,40.71990768617985,3,22.21,11,6,9
46.52,2025-05-07 01:05:57,-73.92718227703561,40.69198714269347,-73.97986152555114,40.63072298068996,2,8.13,1,2,5
110.07,2025-02-16 14:20:46,-73.73582707831304,40.855036544946344,-74.01531434861113,40.68241022060976,3,30.37,14,6,2
86.28,2024-12-12 16:08:16,-73.97821647020676,40.621917628960645,-73.90666429656119,40.83018950295602,1,23.93,16,3,12
46.83,2025-05-21 11:51:56,-73.77100563105276,40.73411485504965,-73.80649301899435,40.65801831087395,2,8.97,11,2,5
84.37,2024-12-16 22:11:19,-73.94868585876443,40.7638077815607,-73.93111643554423,40.56336201124884,2,22.34,22,0,12
82.56,2025-08-14 11:09:29,-73.82633558664745,40.85602510429944,-73.85832108202317,40.6823274089452,4,19.5,11,3,8
111.34,2025-03-11 05:54:32,-73.82770762812,40.65121265799757,-73.77198214482304,40.92208047492698,3,30.48,5,1,3
64.92,2024-11-23 15:35:14,-73.8542787453599,40.756699938705864,-73.94960336377618,40.87667532207473,2,15.57,15,5,11
81.65,2024-10-16 08:44:30,-73.87013081459017,40.88670047148723,-73.78749947398339,40.684660361508335,2,23.52,8,2,10
134.38,2024-12-28 22:47:42,-73.9423247068439,40.66489573471617,-73.72913388530408,40.947737752310346,3,36.21,22,5,12
77.89,2025-02-21 03:48:12,-73.81070838078753,40.87450967092636,-74.01704981283633,40.752866990349396,1,22.01,3,4,2
74.89,2025-02-27 05:39:46,-73.79488922871421,40.667890190226345,-73.96751312254293,40.705286906774795,2,15.14,5,3,2
53.69,2024-09-20 01:59:29,-74.04288173718068,40.65083030982613,-74.0204968042478,40.720629320413494,1,7.99,1,4,9
134.65,2025-07-20 10:59:54,-73.70912927544336,40.93761203473047,-73.96693973142601,40.57153566568217,3,46.14,10,6,7
91.33,2024-12-06 11:10:52,-74.00231786644744,40.83486458152855,-73.81014436448923,40.75158804797272,3,18.64,11,4,12
132.98,2025-05-28 01:44:10,-74.04262767282148,40.6522607358648,-73.82297865387945,40.93875057434331,3,36.83,1,2,5
135.25,2024-11-08 09:36:16,-73.7132148698326,40.92671629995597,-74.0363869615374,40.73872379884974,2,34.3,9,4,11
72.16,2024-11-30 07:13:10,-73.95542290425799,40.719906483267444,-73.73787851503751,40.76014758805512,1,18.87,7,5,11
60.91,2025-02-16 03:42:20,-73.91447516412892,40.76959611539053,-73.90186641881468,40.63062208325943,4,15.49,3,6,2
84.47,2025-05-23 20:02:38,-73.82562591654572,40.92716219284735,-74.00694888958655,40.82570927852816,4,18.97,20,4,5
98.5,2024-12-24 03:49:18,-73.97088135481961,40.78679454359313,-73.76737804060735,40.627898800387,2,24.63,3,1,12
70.83,2025-05-18 21:18:27,-73.75679177954821,40.813032499323185,-73.9394594896805,40.9153371979704,3,19.11,21,6,5
89.19,2025-01-01 10:47:40,-74.00749970175777,40.55575517868747,-73.76236053346591,40.68566196307982,2,25.23,10,2,1
117.68,2025-04-29 01:55:50,-73.91495553844629,40.910954031336026,-73.8112849727545,40.59915604169384,4,35.75,1,1,4
55.64,2024-11-18 18:51:25,-73.90010190230029,40.69112844343117,-73.93355505727406,40.797422466157556,3,12.15,18,0,11
89.35,2024-12-14 03:00:18,-74.00148773560764,40.88528033421478,-73.71420047001565,40.8009015244506,2,25.92,3,5,12
86.69,2025-08-02 19:31:20,-73.71082892693813,40.88997135744812,-73.93551088665683,40.825589072019255,4,20.21,19,5,8
43.61,2024-12-31 19:47:45,-73.92078187367915,40.78117184460828,-73.99611716136492,40.80732505427005,3,6.98,19,1,12
109.16,2025-01-21 00:50:57,-74.00679453399096,40.6115201531491,-74.03602637519964,40.90869625024461,4,33.14,0,1,1
44.29,2025-05-05 06:27:32,-74.04125313324194,40.94757689451868,-73.95614691367575,40.945280348720196,2,7.15,6,0,5
77.6,2025-03-20 17:44:49,-73.80085029478363,40.83083846789216,-73.79199641975943,40.65286985763764,3,19.8,17,3,3
81.12,2025-05-14 05:39:05,-73.97613298346154,40.65245066076684,-73.94468598123596,40.836834644803496,2,20.67,5,2,5
104.2,2024-11-23 02:57:00,-74.03771809028011,40.89497766765373,-73.72638966760167,40.69572656108823,4,34.32,2,5,11
133.41,2025-02-10 06:28:24,-74.0141781764431,40.59925107536325,-73.89697280863658,40.88004690429935,1,32.75,6,0,2
28.87,2025-04-08 08:24:39,-73.83493588194749,40.59087276372384,-73.81081665739293,40.568201431405534,3,3.24,8,1,4
37.46,2025-06-23 09:42:24,-73.8501463928414,40.86440417613648,-73.77886506703865,40.87157864280689,2,6.05,9,0,6
62.31,2025-08-11 15:19:01,-73.84898631785417,40.88089877829473,-73.90237495942227,40.77517859224362,4,12.58,15,0,8
55.75,2024-12-25 23:40:11,-73.91726764599564,40.859103052027436,-73.77578106967741,40.8604244836952,1,11.9,23,2,12
69.77,2025-02-22 02:30:35,-73.86292783225895,40.71452383746517,-73.96789463539734,40.56322768060961,4,19.01,2,5,2
87.3,2025-01-31 19:20:05,-73.77031405314236,40.77563712185513,-73.96916464605714,40.59481111402565,3,26.18,19,4,1
100.95,2024-12-20 22:17:51,-73.76847752100068,40.58684297430486,-73.74285765199146,40.84095883476169,2,28.34,22,4,12
54.41,2024-11-03 11:17:51,-73.95768609176541,40.84719078609372,-74.0480486213562,40.88456291533347,3,8.66,11,6,11
60.83,2025-02-12 11:56:48,-73.79251969422866,40.81583792882723,-73.78399847993278,40.67763356508617,2,15.38,11,2,2
115.55,2024-09-26 05:01:46,-73.74343228019107,40.62271231239113,-73.87959169346145,40.9197370662532,1,34.96,5,3,9
80.63,2024-12-20 15:17:23,-73.95334581010592,40.85981633616496,-73.76355991318208,40.90559779538016,1,16.75,15,4,12
87.63,2024-09-04 09:04:05,-73.73838213831955,40.79984684234077,-73.99629467767666,40.72169331561868,4,23.4,9,2,9
55.57,2025-06-25 03:44:33,-73.98531685771522,40.716428531925246,-73.94868385445827,40.81218169995816,3,11.09,3,2,6
72.16,2024-10-28 10:13:01,-73.90309990803799,40.9485038189255,-73.885397516744,40.79041964263391,2,17.64,10,0,10
79.81,2024-09-22 20:16:12,-74.03472265652643,40.76015142174051,-73.82621454103611,40.82628991209773,2,19.03,20,6,9
92.31,2025-05-06 08:29:22,-73.87677397082548,40.844852857567126,-73.90604991352578,40.606942599088526,4,26.57,8,1,5
100.18,2025-07-09 07:08:41,-73.81857224164175,40.91561312916961,-73.82302131744386,40.6295401995868,3,31.81,7,2,7
53.1,2025-06-17 13:52:46,-73.72186868558124,40.84988547969098,-73.7636395485617,40.748253400579955,2,11.84,13,1,6
102.21,2024-09-15 14:34:05,-73.73931026873373,40.67772891113437,-74.04433187744202,40.778768907426176,3,28.05,14,6,9
68.24,2025-03-08 12:29:14,-73.95126071979655,40.900679292881705,-73.78047450599549,40.84063351547806,4,15.84,12,5,3
104.94,2025-07-27 20:43:26,-73.97362263257627,40.56025439469472,-74.00309528832607,40.80768179670124,4,27.62,20,6,7
131.08,2024-08-25 00:27:58,-73.76127740471476,40.91179046018009,-73.82456298168839,40.616175892137754,4,33.3,0,6,8
76.9,2024-10-10 14:33:13,-74.00670989640356,40.784866001561745,-73.91911135211816,40.66027523985034,3,15.7,14,3,10
32.88,2025-07-30 13:43:20,-73.7792545975362,40.69901844436374,-73.74173721021334,40.73441357154234,1,5.05,13,2,7
138.36,2025-03-27 23:04:36,-74.01618979791238,40.94688831114427,-73.95314622676932,40.65030456481899,4,33.4,23,3,3
70.24,2024-08-30 11:41:26,-73.94873111303778,40.75671607161828,-73.75338228508828,40.81951183701456,2,17.87,11,4,8
28.33,2025-03-07 13:56:01,-74.02457942510758,40.74485513878992,-74.02082869307492,40.7653254073612,4,2.3,13,4,3
85.08,2025-03-19 15:47:36,-73.77633512978086,40.88297793607979,-73.7856665856972,40.699679448454766,1,20.4,15,2,3
84.36,2025-03-11 05:11:41,-73.90999468281822,40.57598987114519,-73.80559617768722,40.70939449234534,2,17.25,5,1,3
47.74,2025-08-03 23:57:46,-74.04078366922111,40.56279466094353,-73.96698215995913,40.589004641813474,1,6.88,23,6,8
111.15,2025-02-27 12:11:42,-73.75847897652685,40.86750575640398,-74.01170249442607,40.695955947782366,3,28.61,12,3,2
38.92,2024-09-14 23:57:43,-73.85250107401443,40.88242659121163,-73.82512628685963,40.91232783955961,4,4.04,23,5,9
49.08,2024-10-27 19:14:05,-74.01418259879544,40.56254382555842,-73.95879426991839,40.63492426204122,3,9.31,19,6,10
145.41,2024-10-11 23:18:18,-74.03876651885659,40.9199678336466,-74.02709069970281,40.606031762219715,1,34.92,23,4,10
64.97,2024-11-30 03:37:04,-73.98785573165321,40.78666091310917,-73.98832581686803,40.6554583789782,2,14.59,3,5,11
43.22,2024-12-22 18:13:35,-73.89710741552359,40.89712076711127,-73.9305340741552,40.94645971679355,3,6.16,18,6,12
27.7,2024-12-04 00:54:38,-73.93267635007797,40.820000074454114,-73.94604162646777,40.819548184140714,3,1.13,0,2,12
80.91,2024-08-25 09:07:15,-73.72500498985974,40.92531155879503,-73.94067020361396,40.8779696163858,3,18.87,9,6,8
132.48,2025-06-06 21:26:37,-73.94146673071923,40.59285763110075,-73.76740102702448,40.840692850817476,2,31.22,21,4,6
137.55,2025-02-25 09:39:12,-73.9284860548894,40.905347830711435,-73.93293689952674,40.639592446273035,3,29.55,9,1,2
38.78,2025-06-21 21:15:32,-73.87604342731673,40.661030851532594,-73.89250766796293,40.63238573381756,2,3.47,21,5,6
98.64,2025-02-17 09:48:53,-73.93433183944933,40.83427972292943,-73.8246759828523,40.64643325645146,3,22.84,9,0,2
104.55,2024-09-02 14:13:20,-73.89298277010353,40.57812802084346,-74.03870146797972,40.752647253237726,1,22.97,14,0,9
107.93,2025-05-30 18:45:29,-73.80816302913715,40.58398647339299,-73.8571901149284,40.87892387050787,3,33.05,18,4,5
51.74,2024-11-06 15:30:30,-73.90553256883433,40.94838795692529,-73.79904863399966,40.92598507563836,2,9.29,15,2,11
88.04,2024-10-28 18:52:32,-73.72844235022673,40.61836555528332,-73.96069083737264,40.803927429289054,4,28.44,18,0,10
83.76,2024-10-29 11:02:03,-73.7372413647471,40.770181204679105,-73.94666142826951,40.88228556212056,2,21.58,11,1,10
57.29,2024-10-26 18:13:45,-73.81970792337421,40.81484037604488,-73.9879623776096,40.818132896896806,3,14.16,18,5,10
105.27,2024-09-28 18:11:16,-73.75837447616914,40.77605633649655,-73.87997233721116,40.55245872679105,1,26.9,18,5,9
114.1,2025-02-05 12:34:34,-74.00179792499041,40.82664649967386,-73.81594192606448,40.63566097300831,3,26.39,12,2,2
82.03,2025-07-24 23:23:50,-73.93139649585045,40.793311446342564,-73.8903039687758,40.570478042741605,2,25.02,23,3,7
113.75,2025-07-15 22:04:05,-73.72145708079269,40.73437401709202,-74.02383514633674,40.90148234509985,2,31.51,22,1,7
108.58,2025-02-18 00:55:46,-73.7462124942657,40.5997176209525,-73.95316488989033,40.75334121605322,4,24.42,0,1,2
104.91,2024-10-21 06:58:11,-74.01954933563395,40.69257669523291,-73.70142626163847,40.68581527439288,3,26.83,6,0,10
62.0,2025-07-16 12:59:30,-73.9363305587833,40.791662215769136,-74.0498018549988,40.85801923573514,2,12.07,12,2,7
103.0,2024-12-01 10:59:13,-73.86440432230678,40.867752253320525,-73.78453849343205,40.611620722150576,1,29.26,10,6,12
40.35,2025-03-04 00:20:27,-73.70714862031913,40.68699763576915,-73.7027366014223,40.6475997472655,1,4.4,0,1,3
53.14,2024-10-18 05:53:52,-73.89485645210316,40.836939876779645,-74.03837140325989,40.850770295881766,4,12.17,5,4,10
42.97,2024-11-27 08:25:29,-74.00900590600435,40.726971025743595,-73.97854295370303,40.679720835811025,1,5.85,8,2,11
93.78,2025-06-12 15:34:17,-73.81680763053652,40.554519388511736,-73.743054653706,40.78515977372146,4,26.39,15,3,6
83.64,2024-11-11 02:09:50,-73.7585589106323,40.84347236999146,-73.99712086758773,40.836609459572294,4,20.08,2,0,11
85.99,2025-06-30 09:56:17,-73.95022551229513,40.88252851158142,-73.83340971591952,40.66495620317688,4,26.12,9,0,6
39.87,2025-07-12 05:21:48,-73.99775989278983,40.731672975726866,-73.93520428386928,40.72162672667537,1,5.39,5,5,7
53.65,2024-12-07 07:25:35,-73.90464094581137,40.65380423219135,-73.82118327587959,40.73243472333386,1,11.22,7,5,12
102.86,2025-03-13 07:01:28,-73.79329496190161,40.75760653304193,-73.95499758067606,40.58685206567664,3,23.38,7,3,3
59.23,2025-01-30 14:13:32,-73.71118046431658,40.7401711022595,-73.79674842852312,40.788438772440756,4,8.99,14,3,1
93.44,2024-11-22 18:56:19,-73.74105314658232,40.889942199403954,-73.73497394634934,40.67563508519186,1,23.84,18,4,11
56.74,2025-02-11 19:15:07,-73.75199086074278,40.81472893227283,-73.7409468428846,40.66964459815335,4,16.16,19,1,2
70.46,2024-11-20 05:39:27,-73.87640571268834,40.70363797306087,-74.04667666407649,40.77586340570344,3,16.44,5,2,11
74.78,2025-06-19 00:37:03,-73.82516988883111,40.765320838700305,-74.00961860380848,40.7500672139577,4,15.63,0,3,6
33.81,2025-07-27 13:39:20,-73.99889476761368,40.65562931936157,-74.02632899880335,40.69358897478928,4,4.81,13,6,7
68.29,2025-04-22 04:14:44,-73.70908578398922,40.6781421795896,-73.88543844885672,40.697580232441645,1,15.03,4,1,4
89.1,2024-12-30 21:20:14,-73.88471455559981,40.642156818888964,-73.86596364394245,40.869620173409935,2,25.34,21,0,12
70.72,2025-02-07 10:31:31,-73.81309218395599,40.74955638122631,-73.92660490955666,40.89319617757774,3,18.61,10,4,2
81.66,2025-01-30 14:35:16,-73.89239868025501,40.57038147087062,-74.01249169559996,40.70957311082666,3,18.5,14,3,1
68.41,2024-11-13 03:22:02,-73.95158208332654,40.667580148049474,-73.78199273924291,40.74155903103252,1,16.49,3,2,11
67.94,2025-04-29 01:08:04,-73.72993737514372,40.70456972472542,-73.88520377689997,40.65455444573302,1,14.23,1,1,4
41.29,2024-09-26 05:52:48,-73.94416623355357,40.660103422910794,-74.02585346017365,40.64512650901228,1,7.09,5,3,9
82.42,2024-10-10 07:24:00,-73.75624387306004,40.85503937443786,-74.03812068041465,40.81097647062256,1,24.22,7,3,10
60.81,2025-06-27 20:39:08,-73.94516378110222,40.93470578583634,-74.02722647297819,40.826833464221366,4,13.84,20,4,6
49.9,2025-04-02 10:22:07,-73.84475137141256,40.815041180111386,-73.86924244820094,40.70263656986331,4,12.67,10,2,4
49.3,2024-12-31 12:48:38,-73.9371418242897,40.68460902348976,-73.84942847074534,40.67087227541289,1,7.55,12,1,12
106.92,2025-02-02 11:58:53,-74.02126017238739,40.901857776139025,-73.8857342960451,40.650752949853214,4,30.16,11,6,2
51.65,2024-10-23 07:17:41,-73.92971830653232,40.85753539038298,-73.88005804800304,40.75102078375223,1,12.56,7,2,10
57.28,2025-03-15 22:31:50,-73.77087140275724,40.564980917666055,-73.8683730046321,40.6540005738982,1,12.87,22,5,3
99.84,2025-07-10 22:21:12,-73.76715678935157,40.571558927241576,-73.9900729207038,40.718022320283964,1,24.88,22,3,7
78.51,2024-09-21 21:49:17,-73.79360159633028,40.55972723189238,-73.94120171426133,40.6740853708873,1,17.8,21,5,9
146.15,2025-03-16 19:20:22,-73.98581768849239,40.90550672369265,-73.74031455621362,40.59692741654604,3,40.06,19,6,3
183.62,2025-02-06 00:36:49,-73.93121286048944,40.56681762081531,-73.75701517811959,40.942193723602145,4,44.24,0,3,2
93.04,2025-02-25 03:10:59,-73.70613262277018,40.60904432234255,-74.03877107020479,40.61117076581108,2,28.08,3,1,2
59.37,2025-01-16 10:50:49,-73.765446318026,40.801568123531595,-73.91466259276747,40.83369005666068,1,13.05,10,3,1
